formula,chemsys,ehull,,
Ir5Mo2Ru1,Ir-Mo-Ru,-0.042157216,,
Be8Co1V3,Be-Co-V,-0.031763627,,
Ag4O16Te4,Ag-O-Te,-0.022323838,,
Nb1Te8Zr5,Nb-Te-Zr,-0.017000103,,
Er20Ir4Si12,Er-Ir-Si,-0.009205174,,
K1O8Ta5,K-O-Ta,-0.003769622,,
Al4Ga4N4V12,Al-Ga-N-V,-0.005508581,,
Ir8N4Si4Zr12,Ir-N-Si-Zr,-0.010400025,,
Ag1I1La10Pb6,Ag-I-La-Pb,-0.010599926,,
Dy2F2O12Sb4,Dy-F-O-Sb,-0.004322761,,
Br3Hg6Li3O6,Br-Hg-Li-O,-0.086175978,,
C2Dy2I2Pr2,C-Dy-I-Pr,-0.017326273,,
Br18C4Dy10Rb1,Br-C-Dy-Rb,-0.011617758,,
Ce1N2Np1Sb1,Ce-N-Np-Sb,-0.148377398,,
F24Li2Na6Pd4,F-Li-Na-Pd,-0.003300618,,
Ag2As1Na1S4,Ag-As-Na-S,-0.006425345,,
O18Ta4Yb8,O-Ta-Yb,-0.397973706,,
